Manoj,1639,970,35.00
M,1491,670,35.00
M,1395,835,53.75
M,1395,107,22.50
M,1395,0,2.71
Manoj,1359,1000,50.00
M,1151,580,43.75
M,989,0,290.00
M,747,790,56.25
M,640,0,135.00
M,640,0,56.95
M,640,0,41.25
M,614,1000,175.00
M,586,0,72.50
M,491,0,35.00
M,414,0,135.00
M,384,1000,135.00
J,304,0,390.00
M,304,340,290.00
M,304,340,280.00
Manoj,304,0,135.00
M,304,0,88.75
M,304,955,56.95
Manoj,304,212,10.16
M,298,1000,56.95
M,203,795,340.00
M,185,0,640.00
Manoj,185,0,350.00
M,102,0,650.00
m,102,780,290.00
M,102,560,290.00
M,102,765,217.50
Manoj,102,840,135.00
Manoj,6,985,185.00
